"","Gender","Gene","UAS","Driver","Age"
"55","female","Tsc1","31039","24B-Gal4",51
"56","female","Tsc1","31039","24B-Gal4",47
"57","female","Tsc1","31039","24B-Gal4",47
"58","female","Tsc1","31039","24B-Gal4",47
"59","female","Tsc1","31039","24B-Gal4",47
"60","female","Tsc1","31039","24B-Gal4",45
"61","female","Tsc1","31039","24B-Gal4",45
"62","female","Tsc1","31039","24B-Gal4",45
"63","female","Tsc1","31039","24B-Gal4",45
"64","female","Tsc1","31039","24B-Gal4",37
"65","female","Tsc1","31039","24B-Gal4",37
"66","female","Tsc1","31039","24B-Gal4",37
"67","female","Tsc1","31039","24B-Gal4",67
"68","female","Tsc1","31039","24B-Gal4",67
"69","female","Tsc1","31039","24B-Gal4",55
"70","female","Tsc1","31039","24B-Gal4",55
"71","female","Tsc1","31039","24B-Gal4",55
"72","female","Tsc1","31039","24B-Gal4",55
"73","male","Tsc1","31039","24B-Gal4",63
"74","male","Tsc1","31039","24B-Gal4",63
"75","male","Tsc1","31039","24B-Gal4",63
